City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
muscat,23.61,58.59,89.6,84,100,3.36,OM,1594511893
verkhnevilyuysk,63.45,120.32,74.91,75,22,7.38,RU,1594512079
sile,41.18,29.61,75.0,72,0,12.8,TR,1594512079
galle,6.04,80.22,80.37,84,100,8.86,LK,1594512079
dubno,50.42,25.73,55.0,98,100,1.99,UA,1594512079
issoire,45.55,3.25,60.8,51,1,2.24,FR,1594512079
kupang,-10.17,123.58,80.6,69,20,9.17,ID,1594511848
mazatlan,23.22,-106.42,91.4,63,20,17.22,MX,1594511895
chino valley,34.76,-112.45,95.0,23,75,8.05,US,1594512080
udachnyy,66.42,112.4,57.2,67,20,8.95,RU,1594512080
salinas,36.68,-121.66,79.0,53,1,12.75,US,1594511884
muncar,-8.43,114.33,76.73,84,80,6.51,ID,1594512081
acarau,-2.89,-40.12,76.77,77,5,10.94,BR,1594511870
tiarei,-17.53,-149.33,82.4,54,40,4.7,PF,1594512081
belchertown,42.28,-72.4,80.6,69,90,14.99,US,1594512081
mineros,-17.12,-63.23,75.2,78,75,12.75,BO,1594512081
najran,17.49,44.13,84.2,21,51,4.7,SA,1594511888
north bend,43.41,-124.22,68.0,60,1,8.05,US,1594512082
husavik,66.04,-17.34,51.8,87,90,1.12,IS,1594511826
riyadh,24.69,46.72,91.4,16,57,6.93,SA,1594511842
marathon,44.9,-89.77,80.6,44,40,9.17,US,1594512082
laela,-8.57,32.05,57.7,75,7,2.17,TZ,1594512083
waingapu,-9.66,120.26,78.49,63,89,10.11,ID,1594512083
saint-augustin,51.23,-58.65,63.61,83,46,20.89,CA,1594511845
kosai,34.71,137.53,81.0,79,98,8.99,JP,1594512083
caravelas,-17.71,-39.25,70.9,84,22,3.94,BR,1594512084
port-gentil,-0.72,8.78,77.0,88,90,12.06,GA,1594512084
naze,28.37,129.48,84.2,94,75,8.05,JP,1594511828
chimoio,-19.12,33.48,71.6,56,40,9.17,MZ,1594512084
copiapo,-27.37,-70.33,53.6,81,1,6.93,CL,1594512006
aklavik,68.22,-135.01,60.8,44,40,3.36,CA,1594511558
kamir,30.43,73.05,85.59,65,34,11.01,PK,1594512085
irricana,51.32,-113.6,75.99,64,63,7.0,CA,1594512085
calabozo,8.92,-67.43,75.94,90,63,4.03,VE,1594512085
vardo,70.37,31.11,46.9,89,17,12.5,NO,1594512086
mokrousovo,55.81,66.77,63.93,91,25,9.04,RU,1594511933
poum,-20.23,164.02,72.99,72,1,14.99,NC,1594512086
tommot,58.96,126.29,84.33,49,0,1.36,RU,1594512086
berea,41.37,-81.85,81.0,55,13,11.5,US,1594511904
quito,-0.23,-78.52,50.0,85,55,1.23,EC,1594512076
ostrovnoy,68.05,39.51,51.66,82,57,2.19,RU,1594511907
pascagoula,30.37,-88.56,96.8,47,1,9.17,US,1594511834
meadow lake,34.8,-106.54,102.2,7,20,3.36,US,1594512087
rio gallegos,-51.62,-69.22,32.0,94,75,13.87,AR,1594512087
sulangan,11.14,123.72,84.04,70,99,0.85,PH,1594512087
flers,48.74,-0.57,51.8,87,83,3.36,FR,1594512088
ola,59.58,151.28,62.2,70,8,2.21,RU,1594512088
kungurtug,50.6,97.52,59.18,80,100,1.16,RU,1594512088
kenai,60.55,-151.26,64.4,77,40,11.41,US,1594512041
puerto maldonado,-12.6,-69.18,76.6,70,65,1.5,PE,1594512088
pangnirtung,66.15,-65.71,52.45,54,83,1.59,CA,1594511876
pullman,46.73,-117.18,87.8,27,1,11.41,US,1594512089
levanger,63.75,11.3,50.0,66,98,13.87,NO,1594512089
cerritos,33.86,-118.06,96.8,16,20,10.29,US,1594512065
nchelenge,-9.35,28.73,68.25,59,25,4.14,ZM,1594512089
puerto escondido,15.85,-97.07,83.39,73,75,4.12,MX,1594512090
santa rosalia,27.32,-112.28,92.43,35,0,3.78,MX,1594512090
ashland,40.82,-82.27,82.4,42,1,4.7,US,1594512090
san quintin,30.48,-115.95,79.2,50,36,13.89,MX,1594511873
kokkola,63.84,23.13,53.01,100,51,3.36,FI,1594512090
urucara,-2.54,-57.76,76.66,84,39,2.8,BR,1594512090
kodiak,57.79,-152.41,66.2,59,20,6.93,US,1594511719
estelle,29.85,-90.11,96.8,50,1,5.82,US,1594512091
alice town,25.72,-79.3,85.39,73,100,18.79,BS,1594512091
zhigalovo,54.81,105.16,61.66,89,97,2.19,RU,1594512091
ucluelet,48.93,-125.55,59.0,87,75,10.29,CA,1594512042
vysokogornyy,50.12,139.15,68.13,55,29,3.42,RU,1594512092
belyy yar,53.6,91.39,59.0,87,35,4.47,RU,1594512092
suluq,31.67,20.25,67.51,87,0,5.14,LY,1594512092
sitka,57.05,-135.33,57.2,82,75,4.7,US,1594511897
nova olimpia,-14.8,-57.29,77.9,42,38,4.25,BR,1594512092
otjiwarongo,-20.46,16.65,48.63,45,1,15.14,NA,1594512093
sungairaya,0.7,108.9,78.46,83,12,3.47,ID,1594512093
goba,7.02,39.98,52.43,86,55,3.22,ET,1594512093
lewiston,44.1,-70.21,73.99,94,54,5.99,US,1594512093
requena,39.49,-1.1,66.0,82,0,4.68,ES,1594512093
asfi,32.3,-9.24,71.13,80,3,11.14,MA,1594512094
mahibadhoo,3.78,72.97,82.8,78,97,11.81,MV,1594512094
la asuncion,11.03,-63.86,73.4,100,20,16.11,VE,1594512094
cobija,-11.03,-68.77,76.12,70,59,1.68,BO,1594512094
bindura,-17.3,31.33,58.62,77,10,4.74,ZW,1594512094
grand gaube,-20.01,57.66,72.0,64,36,10.0,MU,1594511905
acurenam,1.03,10.65,67.35,96,71,3.89,GQ,1594512095
port moresby,-9.44,147.18,80.38,75,58,1.1,PG,1594512095
faya,18.39,42.45,77.0,31,52,3.11,SA,1594511816
adeje,28.12,-16.73,73.99,73,4,9.17,ES,1594512095
kamenka,51.32,42.77,62.01,76,0,5.99,RU,1594512095
waitati,-45.75,170.57,53.01,82,100,3.0,NZ,1594512096
richards bay,-28.78,32.04,61.74,56,52,20.47,ZA,1594511908
faanui,-16.48,-151.75,78.33,74,26,17.74,PF,1594511818
benghazi,32.12,20.07,74.66,76,0,9.57,LY,1594512096
lebedinyy,58.52,125.52,79.79,46,0,5.88,RU,1594512096
arlit,18.74,7.39,91.51,25,16,3.56,NE,1594512097
santa maria,-29.68,-53.81,56.23,94,99,7.72,BR,1594512097
pitimbu,-7.47,-34.81,73.4,100,75,5.82,BR,1594511931
severo-kurilsk,50.68,156.12,51.26,91,100,5.14,RU,1594511859
odesskoye,54.21,72.97,67.12,87,85,7.43,RU,1594512097
oum hadjer,13.3,19.7,78.13,69,63,8.79,TD,1594512098
harlingen,26.19,-97.7,96.8,47,1,19.46,US,1594511872
bethanien,-26.5,17.16,43.14,59,0,11.23,NA,1594512098
mounana,-1.41,13.16,71.22,89,73,2.77,GA,1594512098
puerto palomas,31.77,-107.62,104.0,9,1,9.17,MX,1594512098
garowe,8.41,48.48,79.27,58,62,31.81,SO,1594512099
okhotsk,59.38,143.3,64.98,69,31,6.44,RU,1594512099
mnogovershinnyy,53.94,139.92,59.9,78,99,1.28,RU,1594512099
hofn,64.25,-15.21,52.68,87,45,5.39,IS,1594511884
tingi,-11.3,35.03,57.56,78,0,3.0,TZ,1594512099
anadyr,64.75,177.48,60.8,55,20,6.71,RU,1594511920
estanzuela,15.0,-89.57,80.92,69,49,4.34,GT,1594512100
camrose,53.02,-112.84,75.0,49,75,12.75,CA,1594511973
sambava,-14.27,50.17,71.67,84,89,11.9,MG,1594512100
hambantota,6.12,81.12,80.42,81,100,15.75,LK,1594511830
novoagansk,61.94,76.66,62.67,95,76,2.66,RU,1594512101
tura,25.52,90.22,74.53,99,98,6.06,IN,1594511836
san pedro,14.35,121.02,87.01,74,98,2.24,PH,1594512101
tema,5.67,-0.02,77.0,88,20,11.41,GH,1594512101
torrington,41.8,-73.12,77.0,91,67,7.83,US,1594512101
mantua,45.17,10.78,66.0,84,25,3.0,IT,1594512102
ouadda,8.08,22.4,67.62,94,100,2.66,CF,1594512102
aykhal,66.0,111.5,57.2,67,20,8.95,RU,1594511821
noumea,-22.28,166.46,77.0,53,20,3.36,NC,1594511937
kopervik,59.28,5.31,53.6,71,28,10.29,NO,1594512102
jinxiang,22.86,115.7,84.69,77,62,7.16,CN,1594512103
opotiki,-38.08,177.28,57.0,76,31,5.01,NZ,1594512103
ambilobe,-13.2,49.05,69.06,83,71,3.24,MG,1594511853
price,39.6,-110.81,91.4,13,1,6.93,US,1594512103
taltal,-25.4,-70.48,55.71,77,20,3.94,CL,1594512037
kangasala,61.46,24.08,50.0,100,81,1.12,FI,1594512104
yarada,17.65,83.27,82.4,88,75,2.24,IN,1594511887
north platte,41.12,-100.77,84.2,39,1,8.05,US,1594512066
huarmey,-10.07,-78.15,61.21,82,0,8.59,PE,1594512104
omboue,-1.57,9.26,72.73,92,26,7.02,GA,1594511906
koslan,63.46,48.9,60.15,95,100,9.66,RU,1594512105
robertsport,6.75,-11.37,76.55,82,92,14.2,LR,1594512105
ceres,37.59,-120.96,102.99,9,75,12.75,US,1594511997
tigzirt,36.89,4.12,74.14,84,0,7.92,DZ,1594512105
fare,-16.7,-151.02,78.89,70,15,17.45,PF,1594512105
kaeo,-35.1,173.78,62.01,3,16,7.0,NZ,1594511866
nago,26.59,127.98,87.8,79,75,5.82,JP,1594512106
thinadhoo,0.53,72.93,83.97,75,27,8.72,MV,1594511910
san patricio,19.22,-104.7,87.8,79,75,5.82,MX,1594511832
saint anthony,45.02,-93.22,82.4,69,75,9.17,US,1594512106
mundo nuevo,18.7,-95.5,83.3,84,99,15.28,MX,1594512106
gherghesti,46.5,27.52,66.2,72,0,1.12,RO,1594512107
turukhansk,65.82,87.98,54.81,87,19,8.66,RU,1594512107
coromandel,-18.47,-47.2,62.74,67,23,4.61,BR,1594512025
soe,-9.86,124.28,70.0,81,96,5.91,ID,1594512108
dudinka,69.41,86.18,48.2,93,90,11.18,RU,1594512108
marondera,-18.19,31.55,52.7,48,8,11.86,ZW,1594512108
santa marta,11.24,-74.2,73.99,88,100,1.01,CO,1594512012
fort-shevchenko,44.51,50.26,82.98,58,32,14.03,KZ,1594512108
palana,59.12,159.97,57.11,86,98,9.13,RU,1594512108
blackwater,-23.58,148.88,67.39,65,4,3.13,AU,1594512109
kitimat,54.05,-128.65,62.6,63,75,18.34,CA,1594512016
honiara,-9.43,159.95,84.2,79,40,6.93,SB,1594512109
gull lake,50.1,-108.48,77.0,44,1,8.05,CA,1594512109
katherine,-14.47,132.27,77.0,53,20,12.75,AU,1594512109
champerico,14.3,-91.92,78.8,88,75,4.7,GT,1594512110
lodja,-3.48,23.43,72.19,86,50,1.7,CD,1594512110
tank,32.22,70.38,88.88,46,0,3.87,PK,1594512110
skibbereen,51.55,-9.27,50.0,93,75,3.36,IE,1594511832
merauke,-8.47,140.33,79.47,79,100,11.43,ID,1594512110
deulgaon raja,20.02,76.03,76.3,84,21,8.95,IN,1594512111
zhicheng,30.3,111.5,73.99,97,97,4.12,CN,1594511830
steinbach,50.17,8.57,63.0,71,14,2.24,DE,1594512111
buin,-33.73,-70.75,53.6,81,75,4.7,CL,1594512111
anchorage,61.22,-149.9,66.2,59,90,8.05,US,1594511884
wamba,8.93,8.6,71.11,96,93,2.06,NG,1594512112
carroll,39.55,-77.02,80.01,67,3,3.0,US,1594512112
caruray,10.31,119.01,77.0,88,75,4.7,PH,1594512112
